business_id,name,categories,bs_rating,location
2570,"""Simply Delicious - Country Market & Deli""","""Restaurants, Delis, Cuban, Sandwiches, Spanish""",5.0,"""State:FL, City:Saint Petersburg, Address:2128 9th Ave N """
7207,"""Juice Envy""","""Restaurants, Juice Bars & Smoothies, Sandwiches, Food, Acai Bowls""",5.0,"""State:AZ, City:Tucson, Address:1980 W Orange Grove Rd, Ste 180 """
7863,"""Punk'd Pineapple""","""Restaurants, Food, Food Stands, Ice Cream & Frozen Yogurt""",5.0,"""State:PA, City:Kennett Square, Address:148 W State St """
9278,"""Polka Deli Inc""","""Delis, Restaurants, Sandwiches""",5.0,"""State:PA, City:Philadelphia, Address:2719 E Allegheny Ave """
68,"""Itty-Bitty""","""Sandwiches, Burgers, American (Traditional), Restaurants""",4.5,"""State:IL, City:Granite City, Address:512 E Chain Of Rocks Rd """
266,"""Sips Specialty Coffee House""","""Coffee & Tea, Food, Internet Cafes, Cafes, Restaurants""",4.5,"""State:FL, City:Tampa, Address:6118 Gunn Hwy """
927,"""Yah Mon""","""Restaurants, Caribbean""",4.5,"""State:FL, City:Tampa, Address:301 W Platt St, Unit C """
2081,"""Boostin' Bowls""","""Juice Bars & Smoothies, Acai Bowls, Restaurants, American (New), Food""",4.5,"""State:PA, City:Philadelphia, Address:100 Levering St """
8164,"""Gelato Irpino Media""","""Gelato, Restaurants, Food, Fish & Chips, Pizza""",4.5,"""State:PA, City:Media, Address:114 S Olive St """
8660,"""Sarappos Pizza""","""Restaurants, Pizza, Italian""",4.0,"""State:PA, City:Bensalem, Address:3328 Bristol Rd """
