user_id,business_id,rating,date,name,text,attributes,categories,hours,location,price,latitude,longitude,bs_rating,review_count,user_rating
62386,1281,5,2018-05-01 00:27:00,"""Gator's Dockside - Tampa""","""Good food and good service! I had gator tails in Louisiana with crawfish and have been craving them since! Well gators dockside def hit the spot and their shrimp appetizers were the BEST!""","{""WiFi"": ""u'free'"", ""HasTV"": ""True"", ""Music"": ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", ""Caters"": ""False"", ""Alcohol"": ""u'full_bar'"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""CoatCheck"": ""False"", ""HappyHour"": ""True"", ""BestNights"": ""{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", ""NoiseLevel"": ""u'loud'"", ""BikeParking"": ""True"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""OutdoorSeating"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsAttire"": ""u'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""None"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsReservations"": ""False"", ""RestaurantsTableService"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""American (Traditional), Nightlife, Chicken Wings, Restaurants, Bars, Sports Bars, Fish & Chips""","{""Friday"": ""11:0-0:0"", ""Monday"": ""11:0-0:0"", ""Sunday"": ""11:0-0:0"", ""Tuesday"": ""11:0-0:0"", ""Saturday"": ""11:0-0:0"", ""Thursday"": ""11:0-0:0"", ""Wednesday"": ""11:0-0:0""}","""State:FL, City:Tampa, Address:5840 E Fowler Ave """,2,28.054900,-82.390600,3.5,158,
48657,49,5,2016-04-01 23:09:00,"""Cafe Beignet on Bourbon Street""","""Who doesn't want a Beignet while drinking your way down Bourbon street in New Orleans?  The perfect stop in a cute little courtyard to soak up that alcohol and keep on going.  3 for $3.99!  Beignet... done that.""","{""WiFi"": ""u'no'"", ""HasTV"": ""False"", ""Caters"": ""False"", ""Alcohol"": ""u'full_bar'"", ""Ambience"": ""{'touristy': None, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", ""HappyHour"": ""True"", ""NoiseLevel"": ""u'loud'"", ""BikeParking"": ""False"", ""DogsAllowed"": ""True"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': True, 'latenight': False, 'lunch': None, 'dinner': False, 'brunch': True, 'breakfast': True}"", ""OutdoorSeating"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""ByAppointmentOnly"": ""False"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""False"", ""WheelchairAccessible"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsReservations"": ""False"", ""RestaurantsTableService"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""Sandwiches, Breakfast & Brunch, Cajun/Creole, Cafes, Food, Restaurants, Donuts""","{""Friday"": ""8:0-22:0"", ""Monday"": ""0:0-0:0"", ""Sunday"": ""8:0-22:0"", ""Tuesday"": ""8:0-15:0"", ""Saturday"": ""8:0-22:0"", ""Thursday"": ""8:0-22:0"", ""Wednesday"": ""8:0-15:0""}","""State:LA, City:New Orleans, Address:311 Bourbon St """,2,29.955800,-90.068400,3.5,1066,
78887,3910,1,2017-12-20 19:02:00,"""Fuzzy's Taco Shop""","""I ordered from here a while back with Uber Eats and what I had delivered was horrible a stack of soggy chips for my nachos. I wrote them and never heard back. Horrible customer service.""","{""WiFi"": ""u'free'"", ""HasTV"": ""True"", ""Caters"": ""True"", ""Alcohol"": ""u'full_bar'"", ""Ambience"": ""{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}"", ""DriveThru"": ""False"", ""HappyHour"": ""True"", ""NoiseLevel"": ""u'average'"", ""BikeParking"": ""True"", ""DogsAllowed"": ""True"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", ""OutdoorSeating"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""True"", ""WheelchairAccessible"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsReservations"": ""False"", ""RestaurantsTableService"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars""","{""Friday"": ""11:0-21:0"", ""Monday"": ""0:0-0:0"", ""Sunday"": ""11:0-22:0"", ""Tuesday"": ""11:0-21:0"", ""Saturday"": ""11:0-20:0"", ""Thursday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0""}","""State:FL, City:Tampa, Address:5621 E Fowler Ave, Units 201-207 """,1,28.053300,-82.392800,3.0,172,
65035,973,1,2015-03-22 02:21:00,"""Thai Fusion""","""Cashier was not friendly and rude.  My wife's pad Thai (1/5) was too spicy for her to eat. Thai Luanna is far superior.""","{""WiFi"": ""u'free'"", ""HasTV"": ""True"", ""Alcohol"": ""u'none'"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""NoiseLevel"": ""u'quiet'"", ""BikeParking"": ""True"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""OutdoorSeating"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsAttire"": ""u'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsReservations"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""Thai, Restaurants""","{""Friday"": ""17:0-21:0"", ""Saturday"": ""17:30-21:0"", ""Thursday"": ""17:0-21:0"", ""Wednesday"": ""17:0-21:0""}","""State:IN, City:Indianapolis, Address:9250 W 10th St """,1,39.778800,-86.325900,4.0,58,
3261,469,5,2015-06-09 00:11:00,"""Caf\u00c3\u00a9 at The Square""","""Awesome breakfast.  Great location near Lafayatte Park.  I ate breakfast here every morning of my recent business trip.  Had delicious Oatmeal one day then, after deciding it was pointless to eat healthy in New Orleans, had fantastic omelettes for the rest of my stay.  I love places that give you your last cup of coffee to go and Cafe at The Square does.  Thanks!""","{""WiFi"": ""'free'"", ""HasTV"": ""True"", ""Caters"": ""True"", ""Alcohol"": ""u'full_bar'"", ""Ambience"": ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': False, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': False}"", ""HappyHour"": ""True"", ""NoiseLevel"": ""u'average'"", ""BikeParking"": ""True"", ""DogsAllowed"": ""False"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': False, 'brunch': True, 'breakfast': True}"", ""OutdoorSeating"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsAttire"": ""u'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsReservations"": ""True"", ""RestaurantsTableService"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""Restaurants, American (Traditional)""","{""Friday"": ""7:0-20:0"", ""Monday"": ""7:0-20:0"", ""Sunday"": ""8:0-13:0"", ""Tuesday"": ""7:0-20:0"", ""Saturday"": ""8:0-13:0"", ""Thursday"": ""7:0-20:0"", ""Wednesday"": ""7:0-20:0""}","""State:LA, City:New Orleans, Address:500 St Charles Ave """,2,29.949200,-90.070600,4.0,293,
35295,443,5,2018-01-25 05:08:00,"""Surrey's Caf\u00c3\u00a9 & Juice Bar""","""Yes...just..yes... 2nd best shrimp and grits in the city... that boudin biscuit is to die for...""","{""WiFi"": ""u'no'"", ""HasTV"": ""False"", ""Caters"": ""False"", ""Alcohol"": ""'none'"", ""Corkage"": ""False"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", ""HappyHour"": ""False"", ""NoiseLevel"": ""u'average'"", ""BYOBCorkage"": ""'yes_free'"", ""BikeParking"": ""False"", ""DogsAllowed"": ""False"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}"", ""OutdoorSeating"": ""None"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""ByAppointmentOnly"": ""False"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""None"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsReservations"": ""False"", ""RestaurantsGoodForGroups"": ""False"", ""BusinessAcceptsCreditCards"": ""True""}","""Vegetarian, Restaurants, Breakfast & Brunch, Cafes, Juice Bars & Smoothies, Sandwiches, Food""","{""Friday"": ""8:0-15:0"", ""Monday"": ""8:0-15:0"", ""Sunday"": ""8:0-15:0"", ""Saturday"": ""8:0-15:0"", ""Thursday"": ""8:0-15:0""}","""State:LA, City:New Orleans, Address:1418 Magazine St """,2,29.935800,-90.071900,4.5,2084,
67052,6162,2,2014-11-14 17:43:00,"""Pollo Tropical""","""Not a good experience. When I went up to the sauce station to get the cilantro garlic sauce there was hair in it, which completly made me lose my appetite. When the server/floor attendant came and dropped off my food, I asked how he was doing and he said he was sick but fine. Not cool to have a sick person working especially around food. Lastly, the chicken avocado wrap and fries he brought out to me were cold. Sucks that it was bad service because I work close to the location and its very convenient. Will not be returning.""","{""WiFi"": ""u'free'"", ""HasTV"": ""True"", ""Caters"": ""True"", ""Alcohol"": ""u'none'"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""DriveThru"": ""True"", ""NoiseLevel"": ""u'average'"", ""BikeParking"": ""True"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""OutdoorSeating"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsAttire"": ""u'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsReservations"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""Latin American, Chicken Shop, Fast Food, Restaurants, Caribbean, Cuban""","{""Friday"": ""10:30-22:0"", ""Monday"": ""10:30-22:0"", ""Sunday"": ""10:30-22:0"", ""Tuesday"": ""10:30-22:0"", ""Saturday"": ""10:30-22:0"", ""Thursday"": ""10:30-22:0"", ""Wednesday"": ""10:30-22:0""}","""State:FL, City:Oldsmar, Address:3134 Tampa Rd """,1,28.051600,-82.698700,2.5,84,
883,226,4,2012-10-16 01:03:00,"""Plaza Deli""","""The bacon avocado sandwich is like heaven in your mouth. $4.50 a sandwich. Awesome selection of drinks. The one downside is that it's cash only.""","{""WiFi"": ""u'no'"", ""HasTV"": ""False"", ""Caters"": ""False"", ""Alcohol"": ""u'none'"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", ""NoiseLevel"": ""u'average'"", ""BikeParking"": ""False"", ""DogsAllowed"": ""True"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", ""OutdoorSeating"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""False"", ""BusinessAcceptsBitcoin"": ""False"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsReservations"": ""False"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""Sandwiches, Restaurants, Salad, Hot Dogs, Delis""","{""Friday"": ""10:0-17:30"", ""Monday"": ""10:0-17:30"", ""Sunday"": ""11:0-16:30"", ""Tuesday"": ""10:0-17:30"", ""Saturday"": ""10:0-16:30"", ""Thursday"": ""10:0-17:30"", ""Wednesday"": ""10:0-17:30""}","""State:CA, City:Santa Barbara, Address:140 S Hope Ave """,1,34.436700,-119.748700,4.0,188,
36666,108,3,2018-02-11 23:17:00,"""Luke""","""Luke's has been a go to in NoLa for the past ten years. It reminds me of a Parisian brasserie and is centrally located in the central business district. Our last visit to Luke's was fair. The service was excellent as always but the food seemed rather uninspired. We had their house gumbo along with fresh and fried oysters, but the other menu items, I cannot even recall days later. Luke's a place you can stop in for a burger and a beer - or oysters and a cocktail. The food's solid and the atmosphere upscale.""","{""WiFi"": ""u'free'"", ""HasTV"": ""True"", ""Music"": ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", ""Caters"": ""True"", ""Alcohol"": ""'full_bar'"", ""Smoking"": ""u'no'"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", ""CoatCheck"": ""False"", ""HappyHour"": ""True"", ""BestNights"": ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", ""NoiseLevel"": ""u'average'"", ""BikeParking"": ""False"", ""DogsAllowed"": ""False"", ""GoodForKids"": ""False"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", ""GoodForDancing"": ""False"", ""OutdoorSeating"": ""None"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", ""ByAppointmentOnly"": ""False"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""True"", ""WheelchairAccessible"": ""True"", ""BusinessAcceptsBitcoin"": ""False"", ""RestaurantsPriceRange2"": ""2"", ""RestaurantsReservations"": ""True"", ""RestaurantsTableService"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch""","{""Friday"": ""7:0-22:0"", ""Monday"": ""7:0-21:0"", ""Sunday"": ""7:0-21:0"", ""Tuesday"": ""7:0-21:0"", ""Saturday"": ""7:0-22:0"", ""Thursday"": ""7:0-21:0"", ""Wednesday"": ""7:0-21:0""}","""State:LA, City:New Orleans, Address:333 Saint Charles Ave """,2,29.950700,-90.070400,4.0,4554,
54783,1009,2,2013-12-29 17:01:00,"""Grand Hyatt Tampa Bay""","""I ordered a delivery to be sent to the hotel the day I arrived. I got an email from my company that my package was delivered and signed by ""Mark"". When I called down to the desk there was no package and the manager on duty said that Mark didn't even work there. I basically got the run a round and had to keep calling because no one had an answer and nobody got back to me. I had to re-order my package. When I checked out I was told there was a package for me, 4 days later and there is a Mark that works there after all, the manager on duty at the time had no idea why I didn't receive my delivery. Terrible service and staff. The hotel itself is nice but I won't stay here again.""","{""WiFi"": ""u'free'"", ""HasTV"": ""True"", ""Caters"": ""True"", ""Alcohol"": ""u'full_bar'"", ""Ambience"": ""{'romantic': False, 'intimate': False, 'classy': True, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}"", ""NoiseLevel"": ""u'average'"", ""BikeParking"": ""True"", ""DogsAllowed"": ""True"", ""GoodForKids"": ""True"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}"", ""OutdoorSeating"": ""True"", ""BusinessParking"": ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsTakeOut"": ""False"", ""RestaurantsDelivery"": ""False"", ""RestaurantsPriceRange2"": ""4"", ""RestaurantsReservations"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""BusinessAcceptsCreditCards"": ""True""}","""Hotels & Travel, Event Planning & Services, Restaurants, American (New), Hotels""",{},"""State:FL, City:Tampa, Address:2900 Bayport Dr """,4,27.965200,-82.550100,4.0,246,
